2017-04-04 17:10:02,358 - INFO - Reading from log file /etc/osg_display/osg_display.conf.
2017-04-04 17:10:02,359 - DEBUG - Setting script timeout to 3600.
2017-04-04 17:10:02,374 - INFO - Successfully connected to Gratia database
2017-04-04 17:10:16,187 - INFO - Gratia returned 199 results for jobs
2017-04-04 17:10:16,187 - DEBUG - Job result dump:
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-02 18:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-02 07:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-04 12:00:00 as it is over an hour old.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-04 12:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,933 - DEBUG - Ignoring cached data from 2017-04-04 07:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-04 07:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-02 20:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-02 10:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-02 17:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-04 09:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-04 09:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-04 19:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-04 17:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-04 17:00:00 as it is over 30 minutes old and is for a recent interval.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-03 23:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-03 16:00:00 as it is over an hour old.
2017-04-04 17:10:16,934 - DEBUG - Ignoring cached data from 2017-04-03 03:00:00 as it is over an hour old.
2017-04-04 17:10:16,935 - DEBUG - Ignoring cached data from 2017-04-03 13:00:00 as it is over an hour old.
2017-04-04 17:10:16,935 - DEBUG - Ignoring cached data from 2017-04-03 06:00:00 as it is over an hour old.
2017-04-04 17:10:16,935 - DEBUG - Ignoring cached data from 2017-04-02 22:00:00 as it is over an hour old.
2017-04-04 17:10:16,935 - DEBUG - Ignoring cached data from 2017-04-03 11:00:00 as it is over an hour old.
